TEAM,PLAYER_ID,PLAYER_NAME
,1627749,Dejounte Murray
,1626153,Delon Wright
,203471,Dennis Schroder
,1629126,Deonte Burton
,1631220,Dereon Seabron
,1627884,Derrick Jones Jr.
,201565,Derrick Rose
,1628401,Derrick White
,1630217,Desmond Bane
,1626164,Devin Booker
,1629653,Devon Dotson
,1628984,Devonte' Graham
,203473,Dewayne Dedmon
,1628415,Dillon Brooks
,1627734,Domantas Sabonis
,1631230,Dominick Barlow
,1628978,Donte DiVincenzo
,1627827,Dorian Finney-Smith
,203110,Draymond Green
,1629234,Drew Eubanks
,1630696,Dru Smith
,1630613,Duane Washington Jr.
,1629130,Duncan Robinson
,203939,Dwight Powell
,1629685,Dylan Windler
,1630700,Dyson Daniels
,1628410,Edmond Sumner
,201569,Eric Gordon
,1630647,Eugene Omoruyi
,203095,Evan Fournier
,1630596,Evan Mobley
,1630267,Facundo Campazzo
,1628402,Frank Jackson
,1626163,Frank Kaminsky
,1630532,Franz Wagner
,1627832,Fred VanVleet
,1629216,Gabe Vincent
,202066,Garrett Temple
,1629726,Garrison Mathews
,203914,Gary Harris
,1627780,Gary Payton II
,1629018,Gary Trent Jr.
,201588,George Hill
,1627777,Georges Niang
,203507,Giannis Antetokounmpo
,1629048,Goga Bitadze
,202330,Gordon Hayward
,203476,Gorgui Dieng
,1629684,Grant Williams
,1628960,Grayson Allen
,1630535,Greg Brown III
,1628977,Hamidou Diallo
,203084,Harrison Barnes
,1629312,Haywood Highsmith
,1630529,Herbert Jones
,1630193,Immanuel Quickley
,1630171,Isaac Okoro
,1628392,Isaiah Hartenstein
,1630198,Isaiah Joe
,1630600,Isaiah Mobley
,1630191,Isaiah Stewart
,1630225,Isaiah Todd
,202397,Ish Smith
,1627826,Ivica Zubac
,1631120,JD Davison
,1630550,JT Thor
,203210,JaMychal Green
,1631095,Jabari Smith Jr.
,1631133,Jabari Walker
,1631298,Jack White
,1630702,Jaden Hardy
,1631093,Jaden Ivey
,1630183,Jaden McDaniels
,1630531,Jaden Springer
,203109,Jae Crowder
,1630256,Jae'Sean Tate
,1631222,Jake LaRavia
,1628973,Jalen Brunson
,1631105,Jalen Duren
,1630224,Jalen Green
,1630552,Jalen Johnson
,1629667,Jalen McDaniels
,1630188,Jalen Smith
,1630591,Jalen Suggs
,1631114,Jalen Williams
,1631288,Jamal Cain
,1627750,Jamal Murray
,1631123,Jamaree Bouyea
,1630547,James Bouknight
,201935,James Harden
,201949,James Johnson
,1630215,Jared Butler
,1631197,Jared Rhoden
,1628991,Jaren Jackson Jr.
,1629020,Jarred Vanderbilt
,1629714,Jarrell Brantley
,1628386,Jarrett Allen
,1629633,Jarrett Culver
,1630554,Jason Preston
,1629637,Jaxson Hayes
,1630643,Jay Huff
,1627759,Jaylen Brown
,1631119,Jaylin Williams
,1628369,Jayson Tatum
,1630288,Jeff Dowtin Jr.
,201145,Jeff Green
,1630579,Jericho Sims
,1628975,Jevon Carter
,1629111,Jock Landale
,1630580,Joe Wieskamp
,203954,Joel Embiid
,1631219,John Butler Jr.
,1628381,John Collins
,1629723,John Konchar
,1631098,Johnny Davis
,1630548,Johnny Juzang
,202685,Jonas Valanciunas
,203903,Jordan Clarkson
,1630692,Jordan Goodwin
,1631160,Jordan Hall
,1629162,Jordan McLaughlin
,1629670,Jordan Nwora
,1629673,Jordan Poole
,1630648,Jordan Schakel
,1630631,Jose Alvarado
,1630528,Josh Christopher
,1630581,Josh Giddey
,1630182,Josh Green
,1631169,Josh Minott
,1629006,Josh Okogie
